Year,Area (ha)
2000,428156.1546694256
2001,54242.87040204757
2002,51164.50981082996
2003,50346.94411358767
2004,57185.96443252985
2005,59012.01847758491
2006,36531.410671374564
2007,71651.47195427367
2008,37841.24335199071
2009,71522.79507457482
2010,70453.04050307153
2011,68780.15201724278
2012,90981.14362812138
2013,95473.88129910149
2014,99649.95808135555
2015,113249.45684526458
2016,121204.80475168409
2017,115853.53850134304
