Year,Area (ha)
1,15221.807636698322
2,25183.10495276275
3,55601.73805145837
4,33680.41617837195
5,22043.85714102183
6,39383.55545935286
7,115109.50808661616
8,24010.24549325598
9,63188.57928435931
10,34806.759748174656
11,32306.77973200417
12,54100.738493578
13,19824.12194964168
14,81705.0453165215
15,122073.02107099516
16,311788.4987074038
17,23363.007924161295
18,25933.25988573314
19,46931.850576073986
20,28396.30306691622
21,10884.871455625069
22,9449.852426632988
