Year,Area (ha)
1,98618.13085399166
2,148682.2556899728
3,94590.17666185871
4,133246.7201844366
5,109853.82560955935
6,145259.54449105676
7,207437.8783487791
8,150020.79447985877
9,312934.6900785791
10,237481.47229720835
11,315013.49821696786
12,329590.52052257897
13,279949.9431699493
14,376273.00914626906
15,446137.959670821
16,282725.57006464613
17,243587.391670915
