Year,Area (ha)
1,1937.1147610200665
2,4859.492773976005
3,7344.222935037586
4,10884.94808806279
5,10653.2882287953
6,10874.526076531076
7,15015.666379195976
8,14362.528112395832
9,25934.179474985915
10,18589.49674532193
11,22436.138589778104
12,31046.942455670174
13,15787.584924482593
14,24247.039725851577
15,15147.014377470698
16,17850.98994288699
17,14662.314208808148
18,16846.108786891415
19,14687.90944301104
20,6631.311366805539
21,373.7363988248621
