Year,Area (ha)
1,3018.704987186586
2,6998.840538174018
3,30009.492513638015
4,10717.199681864806
5,7048.57499026287
6,13112.499788091733
7,52281.254524478405
8,8911.279654243992
9,23700.80370968928
10,15847.818020540912
11,10461.55386958682
12,16372.980116326595
13,6679.053375513335
14,23942.502418299824
15,35834.400738177
16,88969.26398656562
17,6128.755840151158
18,5899.165056702463
19,7155.630505776165
20,8029.546825685685
21,3021.0039603185824
22,2710.642587499084
