Year,Area (ha)
1,5033.448407630395
2,8590.496269892777
3,18598.462740536732
4,12684.584255789492
5,7952.914387952475
6,15510.17549988839
7,33278.708939774464
8,10946.177405811635
9,26492.370151434636
10,16987.18910475827
11,13912.006010962308
12,21974.964579499672
13,7402.616852590299
14,20781.490994242668
15,21819.93715796539
16,45032.66887173186
17,7153.8679597083
18,6373.366581395562
19,7922.031515545992
20,7308.512219053917
21,2477.220182163728
22,1857.263760902064
