Year,Area (ha)
1,4862.098276858935
2,3512.7543132525843
3,2717.1563447064045
4,5668.961213751896
5,4903.326528359401
6,5472.55227584168
7,6283.170202183569
8,7393.804122250973
9,10202.382965173096
10,7263.37571322905
11,8766.827509116885
12,15177.054293062114
13,9042.01459301684
14,17620.17304043456
15,14012.1646070796
16,20001.526042994043
17,16763.958813641413
18,15482.128027678022
19,10055.631846914
20,6209.296532208756
