Year,Area (ha)
1,33843.41337343045
2,82178.4805168372
3,80030.3966547376
4,163445.57145171333
5,158098.92627106732
6,183000.71354491144
7,203941.4467447637
8,235519.75852367593
9,326232.25720379653
10,193692.16472769788
11,243642.41376120746
12,355788.5454806803
13,179117.7479249697
14,296624.54856119375
15,218689.66591627075
16,235452.85840553485
17,175123.66527031484
18,179247.25674473884
19,149434.2498014488
20,104307.78282593153
21,76951.45857149272
