Year,Area (ha)
1,94278.12937540909
2,141682.7254598592
3,89707.23436193635
4,124136.50272183718
5,97638.92156463672
6,117420.89567352511
7,159218.9859809759
8,106930.14484516195
9,219350.23752953103
10,156230.39754181847
11,208445.05847790666
12,205904.9996968017
13,169219.9022673484
14,236657.7502240141
15,307111.0846054816
16,196782.521044165
17,173463.42350682485
