Year,Area (ha)
1,101.23145024556958
2,384.15841035657854
3,840.5045770578404
4,2609.4877696912454
5,5101.268115024281
6,11692.653981770818
7,26841.047743120715
8,29259.5674779808
9,49932.85347014416
10,46716.283528730426
11,67503.67522067853
12,83627.59991437219
13,75107.98864938263
14,98671.77356040491
15,87109.54798765601
16,64998.48419874219
17,62492.60348486624
