Year,Area (ha)
1,5182.498499021483
2,8477.540056674019
3,6870.251307657686
4,11456.166278926134
5,11813.27343876289
6,17429.58816779207
7,31381.672943688834
8,26446.084159043752
9,62655.37078261158
10,54068.246339979065
11,71807.4295562133
12,85642.34333481599
13,81306.70990518421
14,119155.77743136724
15,146921.62543305234
16,107126.32388575897
17,115430.44473584274
