Year,Area (ha)
1,4692.434059717613
2,14758.794447914272
3,63224.82642740711
4,18680.3061840358
5,13658.73580425405
6,20781.26109692947
7,116282.36754612293
8,14084.428995862028
9,38271.31225809306
10,24043.733868545394
11,17330.042631176646
12,25435.45557021821
13,11238.989950390229
14,43549.21814209239
15,73874.35966675349
16,255681.4463615326
17,10918.666360665413
18,9968.194235460416
19,15681.985425286246
20,13518.421810764543
21,5116.058175506795
22,5014.673460385759
