Year,Area (ha)
1,331804.1251189404
2,342662.40511867206
3,227483.54467590747
4,504361.29341713234
5,461080.51870441943
6,603832.3433030946
7,572434.807444795
8,679457.2943774256
9,929768.3395026146
10,545731.7747220319
11,724986.694710544
12,1002843.4228438106
13,578509.0009892802
14,945363.7302732622
15,761398.7507643539
16,914250.194229202
17,650686.2586899939
18,648272.7966960242
19,583113.2311131668
20,429191.462390499
21,386461.98143483885
